Final_taxon	Label	Total_ASVs	LNHKK35-LP	LNHKK35-LP-COI.LN.Blk1	LNHKK35-LP-COI.LN.Blk2	LNHKK42-LP	LNHKK42-LP-COI.LN.Blk1	LNHKK42-LP-COI.LN.Blk2	LNHKK43-LP-COI.LN.Blk1	LNHKK43-LP-COI.LN.Blk2	LNHKK45-LP	LNHKK45-LP-COI.LN.Blk1	LNHKK45-LP-COI.LN.Blk2	LNHKK47-LP	LNHKK47-LP-COI.LN.Blk2	LNHKK51-LP	LNHKK51-LP-COI.LN.Blk1	LNHKK51-LP-COI.LN.Blk2	LNHKK53-AC-COI.LN.Blk1	LNKWC07-AC	LNKWC07-AC-COI.LN.Blk1	LNKWC07-AC-COI.LN.Blk2	LNKWC08-AC	LNKWC08-AC-COI.LN.Blk1	LNKWC08-AC-COI.LN.Blk2	LNKWC09-AC-COI.LN.Blk1	LNKWC10-AC	LNKWC10-AC-COI.LN.Blk1	LNKWC10-AC-COI.LN.Blk2	LNKWC12-AC	LNKWC12-AC-COI.LN.Blk1	LNKWC12-AC-COI.LN.Blk2	LNKWC13-AC	LNKWC13-AC-COI.LN.Blk1	LNKWC13-AC-COI.LN.Blk2	LNKWC15-AC	LNKWC15-AC-COI.LN.Blk1	LNKWC15-AC-COI.LN.Blk2	LNKWC16-AC	LNKWC16-AC-COI.LN.Blk1	LNKWC16-AC-COI.LN.Blk2	LNKWC17-LP	LNKWC17-LP-COI.LN.Blk1	LNKWC17-LP-COI.LN.Blk2	LNKWC18-LP	LNKWC18-LP-COI.LN.Blk1	LNKWC18-LP-COI.LN.Blk2	LNKWC19-LP	LNKWC19-LP-COI.LN.Blk1	LNKWC19-LP-COI.LN.Blk2	LNKWC20-LP-COI.LN.Blk1	LNKWC21-NA-COI.LN.Blk1	LNKWC22-LP	LNKWC22-LP-COI.LN.Blk2	LNMAW16-AC	LNMAW16-AC-COI.LN.Blk2	LNMAW17-AC-COI.LN.Blk1	LNMAW17-AC-COI.LN.Blk2	LNTYE10-LL	LNTYE10-LL-COI.LN.Blk1	LNTYE10-LL-COI.LN.Blk2	LNTYE11-LL	LNTYE11-LL-COI.LN.Blk1	LNTYE11-LL-COI.LN.Blk2	LNTYE12-LL	LNTYE12-LL-COI.LN.Blk1	LNTYE12-LL-COI.LN.Blk2	LNTYE13-LL	LNTYE13-LL-COI.LN.Blk1	LNTYE13-LL-COI.LN.Blk2	LNTYE14-LL	LNTYE14-LL-COI.LN.Blk1	LNTYE14-LL-COI.LN.Blk2	LNTYE15-LL	LNTYE15-LL-COI.LN.Blk1	LNTYE15-LL-COI.LN.Blk2	LNTYE16-LL	LNTYE16-LL-COI.LN.Blk1	LNTYE16-LL-COI.LN.Blk2	LNTYE17-LP	LNTYE17-LP-COI.LN.Blk1	LNTYE17-LP-COI.LN.Blk2	LNTYE18-LL	LNTYE18-LL-COI.LN.Blk1	LNTYE18-LL-COI.LN.Blk2	LNTYE19-LL	LNTYE19-LL-COI.LN.Blk1	LNTYE19-LL-COI.LN.Blk2	LNTYE20-LL	LNTYE20-LL-COI.LN.Blk1	LNTYE20-LL-COI.LN.Blk2	LNTYE21-LL	LNTYE21-LL-COI.LN.Blk1	LNTYE21-LL-COI.LN.Blk2	LNTYE22-LL-COI.LN.Blk2	LNTYE23-LL	LNTYE23-LL-COI.LN.Blk1	LNTYE23-LL-COI.LN.Blk2	LNTYE24-LL	LNTYE24-LL-COI.LN.Blk1	LNTYE24-LL-COI.LN.Blk2	LNTYE26-LP	LNTYE26-LP-COI.LN.Blk1	LNTYE26-LP-COI.LN.Blk2	Total_read
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa;s__gachua	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa;s__striata	Prey - Fish	14	0	11	0	30	4582	1910	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6546
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Osphronemidae;g__Trichopodus;s__trichopterus	Prey - Fish	1	65	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae	Prey - Fish	6	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Oreochromis	Prey - Fish	1	0	395	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cobitidae;g__Acantopsis	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cobitidae;g__Lepidocephalichthys	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae	Prey - Fish	37	0	2	2	2	0	4	15	5	0	0	2	27	104	0	8	0	0	0	0	0	4	0	0	0	6	0	0	7	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	4	0	5	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7460	1014	85	74	3	0	8869
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Barbodes	Prey - Fish	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	11	0	0	9	6	0	4	0	4	11	10	0	7	4	0	369	838	1047	47	4989	60	0	0	5	0	0	2	5	0	0	3	0	0	0	0	0	0	2	10	0	0	0	0	0	5703	0	379	0	0	0	4	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14015
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Barbonymus;s__altus	Prey - Fish	3	0	0	0	0	289	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312
