Final_taxon	Label	Total_ASVs	PVKR001	PVKR001-16S.PV.Blk1	PVKR001-16S.PV.Blk3	PVKR002	PVKR002-16S.PV.Blk1	PVKR003	PVKR003-16S.PV.Blk1	PVKR003-16S.PV.Blk3	PVKR004	PVKR004-16S.PV.Blk1	PVKR004-16S.PV.Blk3	PVKR005	PVKR005-16S.PV.Blk1	PVKR005-16S.PV.Blk3	PVKR006	PVKR006-16S.PV.Blk1	PVKR006-16S.PV.Blk3	PVKR007	PVKR007-16S.PV.Blk1	PVKR007-16S.PV.Blk3	PVKR008	PVKR008-16S.PV.Blk1	PVKR008-16S.PV.Blk3	PVKR009	PVKR009-16S.PV.Blk1	PVKR010	PVKR010-16S.PV.Blk1	PVKR010-16S.PV.Blk3	PVKR011	PVKR011-16S.PV.Blk1	PVKR011-16S.PV.Blk3	PVKR012	PVKR012-16S.PV.Blk1	PVKR012-16S.PV.Blk3	PVKR013	PVKR013-16S.PV.Blk1	PVKR013-16S.PV.Blk3	PVKR014	PVKR014-16S.PV.Blk1	PVKR014-16S.PV.Blk3	PVKR021	PVKR021-16S.PV.Blk1	PVKR021-16S.PV.Blk3	PVKR022	PVKR022-16S.PV.Blk3	PVKR023	PVKR023-16S.PV.Blk1	PVKR023-16S.PV.Blk3	PVKR024	PVKR024-16S.PV.Blk1	PVKR024-16S.PV.Blk3	PVKR025	PVKR025-16S.PV.Blk1	PVKR025-16S.PV.Blk3	PVKR026	PVKR026-16S.PV.Blk1	PVKR026-16S.PV.Blk3	PVKR027	PVKR027-16S.PV.Blk1	PVKR027-16S.PV.Blk3	PVKR028	PVKR028-16S.PV.Blk1	PVKR028-16S.PV.Blk3	PVKR029	PVKR029-16S.PV.Blk3	Total_read
p__Chordata;c__Aves;o__Charadriiformes;f__Jacanidae	Prey - Aves	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	141	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151
p__Chordata;c__Aves;o__Charadriiformes;f__Jacanidae;g__Metopidius	Prey - Aves	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
p__Chordata;c__Aves;o__Charadriiformes;f__Jacanidae;g__Metopidius;s__indicus	Prey - Aves	16	0	51	143	16	132	9	85	195	3	23	69	6	73	142	10	25	59	1219	34519	25010	0	7	55	0	394	3	23	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	32	29	7	0	0	62377
p__Chordata;c__Aves;o__Charadriiformes;f__Scolopacidae;g__Calidris	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
p__Chordata;c__Aves;o__Charadriiformes;f__Scolopacidae;g__Calidris;s__pygmaea	Prey - Aves	6	0	2	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1338	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1362
p__Chordata;c__Aves;o__Galliformes;f__Phasianidae	Prey - Aves	2	0	0	2	0	0	0	0	1529	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1533
p__Chordata;c__Aves;o__Gruiformes;f__Rallidae	Prey - Aves	12	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	9	5	9	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	72
p__Chordata;c__Aves;o__Gruiformes;f__Rallidae;g__Lewinia	Prey - Aves	3	0	0	0	0	0	0	21	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
p__Chordata;c__Aves;o__Gruiformes;f__Rallidae;g__Lewinia;s__striata	Prey - Aves	30	25	60	67	141	71	35607	83961	62429	18	24	36	42	82	118	51	15	37	18	36	31	15	3	32	4	5	7	10	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182967
p__Chordata;c__Aves;o__Gruiformes;f__Rallidae;g__Porphyrio	Prey - Aves	39	35	132	225	26	54	72	258	262	14	64	111	11469	99964	43436	5103	37589	32392	10	117	104	19	18	69	4	875	14	1388	43	661	8337	3350	1497	21658	8766	4	5	0	0	2	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	3	18	0	60629	25822	63956	13775	148	318	178	72	443089
