Final_taxon	Label	Total_ASVs	LNHKK59_12S_OBS1	LNHKK61_12S_OBS1	LNHKK62_12S_OBS1	LNHKK63_12S_OBS1	LNHKK64_12S_OBS1	LNHKK65_12S_OBS1	LNHKK66_12S_OBS1	LNHKK67_12S_OBS1	LNHKK69_12S_OBS1	LNHKK70_12S_OBS1	LNHKK71_12S_OBS1	LNHKK73_12S_OBS1	LNKB147_12S_OBS1	LNKB148_12S_OBS1	LNKB149_12S_OBS1	LNKWC17_12S_OBS1	LNKWC18_12S_OBS1	LNKWC19_12S_OBS1	LNKWC20_12S_OBS1	LNKWC21_12S_OBS1	LNKWC22_12S_OBS1	LNKWC23_12S_OBS1	LNKWC24_12S_OBS1	LNMAW11_12S_OBS1	LNMAW13_12S_OBS1	LNMAW14_12S_OBS1	LNMAW15_12S_OBS1	LNMAW16_12S_OBS1	LNMAW17_12S_OBS1	LNMAW18_12S_OBS1	LNMAW19_12S_OBS1	LNNKS15_12S_OBS1	LNNKS16_12S_OBS1	LNNKS17_12S_OBS1	LNSK15_12S_OBS1	LNSK16_12S_OBS1	LNSK17_12S_OBS1	LNSK20_12S	LNSK24_12S	LNSK28_12S_OBS1	LNSK46_12S	LNSK46_12S_OBS1	LNSK47_12S	LNSTU34_12S_OBS1	LNSTU37_12S_OBS1	LNSTU40_12S_OBS1	LNSTU41_12S_OBS1	LNSTU47_12S_OBS1	LNTYE25_12S_OBS1	LNTYE26_12S_OBS1	LNTYE27_12S_OBS1	LNTYE29_12S_OBS1	LNTYE30_12S_OBS1	LNTYE31_12S_OBS1	LNTYE33_12S_OBS1	LNTYE34_12S_OBS1	LNTYE35_12S_OBS1	LNTYE36_12S_OBS1	LNTYE38_12S_OBS1	LNTYE40_12S_OBS1	LNTYE41_12S_OBS1	LNTYE43_12S_OBS1	LNTYE45_12S_OBS1	LNTYE47_12S_OBS1	LNTYE48_12S_OBS1	LNTYE49_12S_OBS1	Total_read
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Danionidae;g__Raiamas	Prey - Fish	22	120	0	39	1307	525	0	0	494	295	203	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3950
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Danionidae;g__Raiamas;s__guttatus	Prey - Fish	4	114999	90247	56164	64757	70825	57972	16015	50019	37001	59350	109900	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	3	22	30	12023	0	0	17	0	16	0	0	0	0	0	0	61	169	137	233	58	186	101	67	0	0	0	0	0	0	0	0	0	0	740837
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Danionidae;g__Rasbora	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12420	58	3178	4	8	32	24	55	23	555	57	13	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16726
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Danionidae;g__Rasbora;s__tornieri	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Danionidae;g__Rasbora;s__trilineata	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Gastromyzontidae;g__Beaufortia	Prey - Fish	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Gastromyzontidae;g__Formosania;s__lacustris	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	4	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leptobarbidae;g__Leptobarbus;s__hoevenii	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	28	13	16	7	12	29	21	24	60	110	17	3	4	68	1777	21628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23829
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Nemacheilidae	Prey - Fish	6	0	0	0	0	0	0	0	0	0	0	93	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2526	123	24939	124	16	3920	71	341	1138	0	1204	0	9	40	103	845	12	1054	36655
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Nemacheilidae;g__Mesonoemacheilus;s__triangularis	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	35	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	16	140	56	18	43	2450	27	0	0	12	0	2092	0	0	0	0	0	4938
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Nemacheilidae;g__Schistura	Prey - Fish	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21	7	3	0	7	5	2677	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	528	0	3418
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Nemacheilidae;g__Schistura;s__incerta	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	25	55	42	37	22	17	61	45	10332	10680
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Nemacheilidae;g__Schistura;s__rupecula	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1607	7	1513	5	0	7	3	0	48	22	41768	19	38	67	16	57	59	46	45296
p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Aplocheilidae;g__Aplocheilus;s__panchax	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Ambassidae;g__Ambassis	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Centropomidae;g__Lates;s__calcarifer	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627
p__Chordata;c__Actinopteri;o__Gobiiformes	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	17	32	4852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	69	95	240	74476	55	0	0	185	0	131	0	4	24	71	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80401
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Eleotridae;g__Butis	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Eleotridae;g__Butis;s__humeralis	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	79	14419	7914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	101	42328	17	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64928
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Eleotridae;g__Butis;s__melanostigma	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1656
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Eleotridae;g__Ophiocara	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Eleotridae;g__Ophiocara;s__porocephalum	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	15	17694	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	25	36	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17835
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Eleotridae;g__Oxyeleotris;s__marmorata	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	2	738	4	1	0	0	936	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1697
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae	Prey - Fish	17	0	0	0	0	0	0	0	0	0	0	0	0	217	16383	187	11	27	15	14556	5	22	14	16	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	580	62293	41	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94491
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Acentrogobius;s__viridipunctatus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Glossogobius;s__aureus	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	34	22	30539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	47	65	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30737
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Hemigobius;s__hoevenii	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	4773	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4818
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Oxyurichthys;s__microlepis	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	18	45	8914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	282	23	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9314
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Parapocryptes;s__serperaster	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Periophthalmus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Periophthalmus;s__novemradiatus	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	64	30137	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	69	58	16	1817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32270
p__Chordata;c__Actinopteri;o__Kurtiformes;f__Apogonidae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	17	8	1893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1929
p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
p__Chordata;c__Actinopteri;o__Osteoglossiformes;f__Notopteridae	Prey - Fish	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	785	588	423	145	98	69	99	0	0	0	142	0	0	24	31610	2384	36	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36450
p__Chordata;c__Actinopteri;o__Osteoglossiformes;f__Notopteridae;g__Chitala;s__ornata	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	37	72	98076	283	76	0	0	156	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98903
p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	2067	0	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2687
p__Chordata;c__Actinopteri;o__Siluriformes	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	158	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	691
p__Chordata;c__Actinopteri;o__Siluriformes;f__Ariidae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
p__Chordata;c__Actinopteri;o__Siluriformes;f__Ariidae;g__Arius	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365
p__Chordata;c__Actinopteri;o__Siluriformes;f__Bagridae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
p__Chordata;c__Actinopteri;o__Siluriformes;f__Bagridae;g__Hemibagrus	Prey - Fish	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9186	3691	23086	48	50	117	58	134	64	15343	60927	104600	461	181	114	229	13	11	4	111	28	394	48	131	2617	84	20	64	0	0	0	0	0	0	0	31	0	0	0	0	6539	77	18	43	6227	31	73	11	86	9122	31	244103
p__Chordata;c__Actinopteri;o__Siluriformes;f__Bagridae;g__Mystus	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	5	0	0	0	949	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976
p__Chordata;c__Actinopteri;o__Siluriformes;f__Bagridae;g__Pseudomystus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303
p__Chordata;c__Actinopteri;o__Siluriformes;f__Bagridae;g__Pseudomystus;s__siamensis	Prey - Fish	18	191	221	143	74	101	12299	8794	11000	142	4944	127	87663	0	0	0	400	35213	870	0	0	85	0	38	33	0	0	0	0	0	0	0	0	0	0	0	0	2703	0	0	0	0	0	0	0	0	0	0	0	53	93	76	139	43	135	82	0	0	0	0	0	0	0	0	0	0	0	165662
p__Chordata;c__Actinopteri;o__Siluriformes;f__Callichthyidae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	21	36	18	22	13	15	37	21	7967	8196
p__Chordata;c__Actinopteri;o__Siluriformes;f__Clariidae;g__Clarias	Prey - Fish	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	73	87	9	7	44	22	41	29	11737	10016	305	383	13389	36	51	37	18	8	7844	4925	155	18	18	37	2335	4921	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56632
p__Chordata;c__Actinopteri;o__Siluriformes;f__Heteropneustidae;g__Heteropneustes;s__fossilis	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6914	25	11	0	0	32	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6995
p__Chordata;c__Actinopteri;o__Siluriformes;f__Pangasiidae	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	205	313	0	0	0	0	0	0	0	199	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050
p__Chordata;c__Actinopteri;o__Siluriformes;f__Pseudopimelodidae;g__Lophiosilurus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Actinopteri;o__Siluriformes;f__Sisoridae;g__Glyptosternon	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
p__Chordata;c__Actinopteri;o__Siluriformes;f__Sisoridae;g__Glyptothorax	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	11	0	4	5	4	2853	13	5	2905
p__Chordata;c__Actinopteri;o__Synbranchiformes;f__Mastacembelidae;g__Mastacembelus	Prey - Fish	17	24	84	146	30	36	343	18	2986	3535	36	109	121635	0	0	0	44	191	1886	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	59	94	114	147	63	146	98	122	0	0	5	5	0	0	0	0	344	0	132523
p__Chordata;c__Actinopteri;o__Synbranchiformes;f__Synbranchidae;g__Monopterus	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	3	0	0	0	6	2246	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2369
p__Chordata;c__Actinopteri;o__Synbranchiformes;f__Synbranchidae;g__Monopterus;s__albus	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	100	5890	3	0	12	0	5	8	6	26	11	29	10	3	10987	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17113
p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Syngnathidae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Syngnathidae;g__Microphis;s__boaja	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	10	12	43	60	17	0	0	15240	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15442
p__Chordata;c__Lepidosauria;o__Squamata	Prey - Reptile	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Fowlea	Prey - Reptile	2	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	33	23	44	29	4509	46	0	0	0	0	0	0	0	0	0	0	4743
p__Chordata;c__Lepidosauria;o__Squamata;f__Cylindrophiidae;g__Cylindrophis;s__ruffus	Prey - Reptile	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	14	31	13	109	0	0	0	0	0	0	441	7	0	3	0	2525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3182
p__Chordata;c__Lepidosauria;o__Squamata;f__Homalopsidae	Prey - Reptile	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
p__Chordata;c__Lepidosauria;o__Squamata;f__Homalopsidae;g__Cerberus;s__rynchops	Prey - Reptile	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
p__Chordata;c__Lepidosauria;o__Squamata;f__Homalopsidae;g__Homalopsis;s__buccata	Prey - Reptile	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
p__Chordata;c__Lepidosauria;o__Squamata;f__Varanidae;g__Varanus;s__salvator	Prey - Reptile	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	17	26	6	11	17	22	29	19	9258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	9468
